specification,estimate,std_error,t_value,p_value,conf_low,conf_high,observations
Baseline,0.01879818298505295,0.01632614721687084,1.1514157464920811,0.2646265679534152,-0.015501779535090885,0.05309814550519679,608
Short model,0.009206529360739853,0.014386381144269308,0.6399475495897865,0.5302687235318195,-0.021018135864563626,0.03943119458604333,380
Excl. Accom. & Food,0.00800434422506101,0.03371131815054225,0.23743788923697898,0.8151549826519275,-0.06312031995824806,0.07912900840837007,576
Industry trends,-0.0014278645773599385,0.009266139719492776,-0.15409486804480207,0.8792494879031799,-0.020895301741995224,0.018039572587275347,608
Employment weighted,0.01400662514414883,0.013040435061815937,1.0740918594934015,0.2969698922386299,-0.01339031229155228,0.04140356257984994,608
No anticipation,0.02236562096295747,0.018345988734875696,1.2191014224510266,0.2385413852326682,-0.016177871120156683,0.06090911304607162,532
